id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
001,Non-Compete,Non-Compete,Non-Compete,True,ok,,5929.994499980239,1001,5,5,53769000,53.769,92.99038479421229
002,Non-Compete,Non-Compete,Non-Compete,True,ok,,2133.703300001798,1004,5,5,32170000,32.17,155.4243083618278
003,Exclusivity,Non-Compete,Non-Compete,False,ok,,2428.405099984957,997,5,5,261190000,261.19,19.143152494352773
004,Exclusivity,Non-Compete,Non-Compete,False,ok,,2169.195900001796,1000,5,5,54233000,54.233,92.19478915051721
005,No-Solicit of Customers,Non-Transferable License,Non-Transferable License,False,ok,,2408.4169999987353,997,6,6,240411000,240.411,24.957260691066548
006,No-Solicit of Customers,Non-Compete,Non-Compete,False,ok,,2142.9051000159234,997,5,5,54085000,54.085,92.44707405010631
007,No-Solicit of Employees,Non-Transferable License,Non-Transferable License,False,ok,,2236.6785000194795,999,6,6,127428000,127.428,47.08541293907147
008,No-Solicit of Employees,Non-Transferable License,Non-Transferable License,False,ok,,2416.1713999928907,999,6,6,256781999,256.781999,23.36612388471982
009,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,2161.7769000004046,997,6,6,64441000,64.441,93.10842476063377
010,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,2248.839700012468,998,6,6,122855000,122.855,48.83806112897318
011,Termination for Convenience,Non-Compete,Non-Compete,False,ok,,2384.7716999880504,999,5,5,227014000,227.014,22.025073343494235
012,Termination for Convenience,Non-Compete,Non-Compete,False,ok,,2142.838400002802,1000,5,5,52486000,52.486,95.26349883778532
013,Change of Control,Non-Transferable License,Non-Transferable License,False,ok,,2451.4192000206094,1002,6,6,266627000,266.627,22.503347372921723
014,Change of Control,Non-Compete,Non-Compete,False,ok,,2135.121100000106,1001,5,5,52178000,52.178,95.8258269768868
015,Anti-Assignment,Non-Compete,Non-Compete,False,ok,,2238.8113000197336,1001,5,5,107271000,107.271,46.610920006339086
016,Anti-Assignment,Non-Transferable License,Non-Transferable License,False,ok,,2421.2352999893483,1002,6,6,255454000,255.454,23.487594635433386
017,Revenue/Profit Sharing,Non-Compete,Non-Compete,False,ok,,2172.6787999796215,998,5,5,55668000,55.668,89.81820794711504
018,Revenue/Profit Sharing,Non-Compete,Non-Compete,False,ok,,2436.685499997111,996,5,5,287879000,287.879,17.368408254857076
019,Price Restrictions,Non-Compete,Non-Compete,False,ok,,2143.6742000223603,1001,5,5,54842000,54.842,91.1710003282156
020,Price Restrictions,Non-Compete,Non-Compete,False,ok,,2434.7413000068627,997,5,5,246210000,246.21,20.307867267779535
021,Minimum Commitment,Non-Compete,Non-Compete,False,ok,,2165.0766999810003,996,5,5,53126000,53.126,94.11587546587359
022,Minimum Commitment,Non-Compete,Non-Compete,False,ok,,2214.3477000063285,998,5,5,107590000,107.59,46.47272051305883
