id,expected,output,parsed,correct,status,error,latency_ms,input_tokens,output_tokens,eval_count,eval_duration,eval_duration_ms,generation_tokens_per_second
001,Non-Compete,Non-Compete,Non-Compete,True,ok,,149640.28289998532,991,5,5,5461400000,5461.4,0.9155161680155272
002,Non-Compete,Non-Compete,Non-Compete,True,ok,,2312.611300003482,994,5,5,137021000,137.021,36.49075689127944
003,Exclusivity,Exclusivity,Exclusivity,True,ok,,2352.8537999955006,987,4,4,155317000,155.317,25.75378097696968
004,Exclusivity,Exclusivity,Exclusivity,True,ok,,2263.047100015683,990,4,4,107713000,107.713,37.13572177917243
005,No-Solicit of Customers,No-Solicit of Customers,No-Solicit of Customers,True,ok,,2379.3754000216722,987,6,6,222093000,222.093,27.015709635152838
006,No-Solicit of Customers,No-Solicit of Customers,No-Solicit of Customers,True,ok,,2362.6465999986976,987,6,6,184676000,184.676,32.48933266910698
007,No-Solicit of Employees,No-Solicit of Employees,No-Solicit of Employees,True,ok,,2354.918800003361,989,6,6,187438000,187.438,32.010584833384904
008,No-Solicit of Employees,No-Solicit of Employees,No-Solicit of Employees,True,ok,,2359.9267000099644,989,6,6,178062000,178.062,33.69612831485662
009,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,2300.00960000325,987,6,6,164959000,164.959,36.37267442212914
010,Non-Disparagement,Non-Disparagement,Non-Disparagement,True,ok,,2371.897299977718,988,6,6,214406000,214.406,27.9842914843801
011,Termination for Convenience,Termination for Convenience,Termination for Convenience,True,ok,,2270.3852000122424,989,5,5,130615000,130.615,38.28044252191555
012,Termination for Convenience,Termination for Convenience,Termination for Convenience,True,ok,,2360.637300007511,990,5,5,177670000,177.67,28.142061124556765
013,Change of Control,Change of Control,Change of Control,True,ok,,2284.616000019014,992,4,4,131001000,131.001,30.53411806016748
014,Change of Control,Change of Control,Change of Control,True,ok,,2288.8452999759465,991,4,4,133436000,133.436,29.976917773314547
015,Anti-Assignment,Anti-Assignment,Anti-Assignment,True,ok,,2282.186600001296,991,4,4,112554000,112.554,35.53849707695861
016,Anti-Assignment,Anti-Assignment,Anti-Assignment,True,ok,,2314.749600016512,992,4,4,146796000,146.796,27.248698874628733
017,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,True,ok,,2307.3923000192735,988,5,5,144911000,144.911,34.5039368992002
018,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,True,ok,,2329.4433999981266,986,5,5,163331000,163.331,30.612682221990926
019,Price Restrictions,Price Restrictions,Price Restrictions,True,ok,,2242.4300000129733,991,3,3,94406000,94.406,31.77764125161536
020,Price Restrictions,Price Restrictions,Price Restrictions,True,ok,,2271.6104999999516,987,3,3,108016000,108.016,27.773663161013182
